"#"|"Sticky (as written on the board)"|"Board lane"|"Topic"|"Vote"|"Notes"|"name"|"team"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"0"|""|"volkan"|"DS"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"0"|""|"volkan"|"DS"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"0"|""|"volkan"|"DS"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"0"|""|"volkan"|"DS"
"30"|"Identify fraudulent usage"|"Governance"|"Assurance and evaluation"|"0"|""|"volkan"|"DS"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"0"|""|"volkan"|"DS"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"volkan"|"DS"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"0"|""|"volkan"|"DS"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"volkan"|"DS"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"1"|""|"volkan"|"DS"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"volkan"|"DS"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"volkan"|"DS"
"31"|"Make it look like they are chatting with us, so they think we are super humans"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"volkan"|"DS"
"32"|"Let users contact customer support (us), with the chat included"|"Improve AI interaction"|"Feedback and support loop"|"0"|""|"volkan"|"DS"
"33"|"Let the user know when a tool call is going to be long-running"|"Improve AI interaction"|"Show what the agent does"|"1"|""|"volkan"|"DS"
"34"|"Show the context that is used in the chat"|"Improve AI interaction"|"Show what the agent does"|"0"|""|"volkan"|"DS"
"35"|"Know when you can't give the answer, and be honest about it"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"volkan"|"DS"
"36"|"Let somebody know when you need more info"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"volkan"|"DS"
"37"|"Share chats with others"|"Improve AI interaction"|"Feedback and support loop"|"0"|""|"volkan"|"DS"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"volkan"|"DS"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"volkan"|"DS"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"volkan"|"DS"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"0"|""|"volkan"|"DS"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"3"|""|"volkan"|"DS"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"volkan"|"DS"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"volkan"|"DS"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"volkan"|"DS"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"volkan"|"DS"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"volkan"|"DS"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"0"|""|"alex"|"DS"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"0"|""|"alex"|"DS"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"2"|"This is input comparison"|"alex"|"DS"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"0"|""|"alex"|"DS"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"0"|""|"alex"|"DS"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"0"|""|"alex"|"DS"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"0"|""|"alex"|"DS"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"0"|""|"alex"|"DS"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"3"|"Already have this in tekst version, should be easy to extend"|"alex"|"DS"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"0"|""|"alex"|"DS"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"2"|""|"alex"|"DS"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"0"|""|"alex"|"DS"
"30"|"Identify fraudulent usage"|"Governance"|"Assurance and evaluation"|"0"|""|"alex"|"DS"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"0"|""|"alex"|"DS"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"alex"|"DS"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"1"|""|"alex"|"DS"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"alex"|"DS"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"2"|"Already did this for number of contracts, works quite well"|"alex"|"DS"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"alex"|"DS"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"3"|"Needed to steer agent towards more functionality"|"alex"|"DS"
"31"|"Make it look like they are chatting with us, so they think we are super humans"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"alex"|"DS"
"32"|"Let users contact customer support (us), with the chat included"|"Improve AI interaction"|"Feedback and support loop"|"0"|""|"alex"|"DS"
"33"|"Let the user know when a tool call is going to be long-running"|"Improve AI interaction"|"Show what the agent does"|"0"|""|"alex"|"DS"
"34"|"Show the context that is used in the chat"|"Improve AI interaction"|"Show what the agent does"|"0"|""|"alex"|"DS"
"35"|"Know when you can't give the answer, and be honest about it"|"Improve AI interaction"|"Ask, don't guess"|"2"|"Scope limits of agent capability"|"alex"|"DS"
"36"|"Let somebody know when you need more info"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"alex"|"DS"
"37"|"Share chats with others"|"Improve AI interaction"|"Feedback and support loop"|"0"|""|"alex"|"DS"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"alex"|"DS"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"alex"|"DS"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"alex"|"DS"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"0"|""|"alex"|"DS"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"0"|""|"alex"|"DS"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"alex"|"DS"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"alex"|"DS"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"alex"|"DS"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"0"|""|"alex"|"DS"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"0"|""|"alex"|"DS"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"1"|""|"edward"|"DE"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"3"|""|"edward"|"DE"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"edward"|"DE"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"3"|""|"edward"|"DE"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"1"|"More important that we design to support it"|"edward"|"DE"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"3"|""|"edward"|"DE"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"3"|""|"edward"|"DE"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"1"|""|"edward"|"DE"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"3"|""|"edward"|"DE"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"0"|""|"edward"|"DE"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"edward"|"DE"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"3"|""|"edward"|"DE"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"0"|""|"edward"|"DE"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"1"|""|"edward"|"DE"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"edward"|"DE"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"3"|""|"edward"|"DE"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"3"|""|"edward"|"DE"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"edward"|"DE"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"0"|"Not for chatbot"|"edward"|"DE"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"3"|""|"edward"|"DE"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"3"|"Not specific to chatbot. But good idea in general"|"edward"|"DE"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"0"|""|"edward"|"DE"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"0"|""|"edward"|"DE"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"edward"|"DE"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"1"|""|"edward"|"DE"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"3"|""|"edward"|"DE"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"1"|""|"edward"|"DE"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"1"|""|"edward"|"DE"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"1"|""|"edward"|"DE"
"30"|"Identify fraudulent usage"|"Governance"|"Assurance and evaluation"|"0"|""|"edward"|"DE"
"31"|"Make it look like they are chatting with us, so they think we are super humans"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"edward"|"DE"
"32"|"Let users contact customer support (us), with the chat included"|"Improve AI interaction"|"Feedback and support loop"|"1"|""|"edward"|"DE"
"33"|"Let the user know when a tool call is going to be long-running"|"Improve AI interaction"|"Show what the agent does"|"1"|""|"edward"|"DE"
"34"|"Show the context that is used in the chat"|"Improve AI interaction"|"Show what the agent does"|"3"|""|"edward"|"DE"
"35"|"Know when you can't give the answer, and be honest about it"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"edward"|"DE"
"36"|"Let somebody know when you need more info"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"edward"|"DE"
"37"|"Share chats with others"|"Improve AI interaction"|"Feedback and support loop"|"3"|""|"edward"|"DE"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"3"|""|"gerard"|"DE"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"3"|""|"gerard"|"DE"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"gerard"|"DE"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"1"|""|"gerard"|"DE"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"3"|""|"gerard"|"DE"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"3"|""|"gerard"|"DE"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"3"|""|"gerard"|"DE"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"2"|""|"gerard"|"DE"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"3"|""|"gerard"|"DE"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"1"|""|"gerard"|"DE"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"gerard"|"DE"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"2"|""|"gerard"|"DE"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"1"|""|"gerard"|"DE"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"1"|""|"gerard"|"DE"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"2"|""|"gerard"|"DE"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"3"|""|"gerard"|"DE"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"gerard"|"DE"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"2"|""|"gerard"|"DE"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"3"|""|"gerard"|"DE"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"1"|""|"gerard"|"DE"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"2"|""|"gerard"|"DE"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"1"|""|"gerard"|"DE"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"3"|""|"gerard"|"DE"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"3"|""|"gerard"|"DE"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"1"|""|"gerard"|"DE"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"2"|""|"gerard"|"DE"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"2"|""|"gerard"|"DE"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"2"|""|"gerard"|"DE"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"3"|""|"gerard"|"DE"
"30"|"Identify fraudulent usage"|"Governance"|"Assurance and evaluation"|"2"|""|"gerard"|"DE"
"31"|"Make it look like they are chatting with us, so they think we are super humans"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"gerard"|"DE"
"32"|"Let users contact customer support (us), with the chat included"|"Improve AI interaction"|"Feedback and support loop"|"1"|""|"gerard"|"DE"
"33"|"Let the user know when a tool call is going to be long-running"|"Improve AI interaction"|"Show what the agent does"|"3"|""|"gerard"|"DE"
"34"|"Show the context that is used in the chat"|"Improve AI interaction"|"Show what the agent does"|"1"|""|"gerard"|"DE"
"35"|"Know when you can't give the answer, and be honest about it"|"Improve AI interaction"|"Ask, don't guess"|"2"|""|"gerard"|"DE"
"36"|"Let somebody know when you need more info"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"gerard"|"DE"
"37"|"Share chats with others"|"Improve AI interaction"|"Feedback and support loop"|"3"|""|"gerard"|"DE"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"0"|""|"auke"|"DS"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"0"|""|"auke"|"DS"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"auke"|"DS"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"1"|""|"auke"|"DS"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"1"|""|"auke"|"DS"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"0"|""|"auke"|"DS"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"auke"|"DS"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"1"|""|"auke"|"DS"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"2"|""|"auke"|"DS"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"0"|""|"auke"|"DS"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"0"|""|"auke"|"DS"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"3"|""|"auke"|"DS"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"0"|""|"auke"|"DS"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"0"|""|"auke"|"DS"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"auke"|"DS"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"3"|""|"auke"|"DS"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"1"|""|"auke"|"DS"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"auke"|"DS"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"auke"|"DS"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"0"|""|"auke"|"DS"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"2"|""|"auke"|"DS"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"0"|""|"auke"|"DS"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"0"|""|"auke"|"DS"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"auke"|"DS"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"0"|""|"auke"|"DS"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"0"|""|"auke"|"DS"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"0"|""|"auke"|"DS"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"auke"|"DS"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"0"|""|"auke"|"DS"
