invoice_id,city,customer_type,product_line,unit_price,quantity,gross_income,date
INV-00793,Naypyitaw,Normal,Electronic accessories,39.95,6,11.99,2024-12-07
INV-00842,Bago,Normal,Electronic accessories,52.19,9,23.49,2024-04-12
INV-00794,Mandalay,Member,Health and beauty,82.87,5,20.72,2024-03-28
INV-00414,Yangon,Normal,Fashion accessories,18.77,5,4.69,2024-04-29
INV-00168,Yangon,Member,Food and beverages,41.11,5,10.28,2024-10-25
INV-00284,Naypyitaw,Normal,Health and beauty,53.27,4,10.65,2024-05-07
INV-00879,Naypyitaw,Normal,Fashion accessories,10.46,2,1.05,2024-01-28
INV-00835,Taunggyi,Normal,Health and beauty,37.07,3,5.56,2024-02-18
INV-00044,Mandalay,Member,Fashion accessories,44.96,9,20.23,2024-04-05
INV-00810,Yangon,Member,Health and beauty,17.54,5,4.38,2024-03-24
INV-00430,Taunggyi,Member,Sports and travel,40.38,3,6.06,2024-04-26
INV-00128,Taunggyi,Normal,Health and beauty,45.69,7,15.99,2024-12-26
INV-00409,Bago,Normal,Sports and travel,42.45,7,14.86,2024-05-22
INV-00587,Bago,Normal,Home and lifestyle,27.18,9,12.23,2024-05-10
INV-00192,Mandalay,Normal,Electronic accessories,62.05,10,31.03,2024-07-27
INV-00029,Naypyitaw,Member,Electronic accessories,22.05,10,11.03,2024-03-18
INV-00670,Taunggyi,Member,Food and beverages,89.56,8,35.82,2024-12-11
INV-00434,Naypyitaw,Member,Fashion accessories,65.45,6,19.64,2024-07-26
INV-00496,Taunggyi,Normal,Fashion accessories,58.79,7,20.58,2024-01-25
INV-00021,Naypyitaw,Normal,Electronic accessories,73.56,1,3.68,2024-12-08
INV-00310,Taunggyi,Normal,Food and beverages,23.38,6,7.01,2024-04-09
INV-00271,Taunggyi,Normal,Health and beauty,71.78,6,21.53,2024-08-18
INV-00869,Bago,Normal,Fashion accessories,63.59,1,3.18,2024-02-21
INV-00378,Yangon,Member,Food and beverages,64.73,6,19.42,2024-08-03
INV-00726,Bago,Member,Health and beauty,99.97,4,19.99,2024-06-05
INV-00322,Yangon,Member,Sports and travel,36.11,10,18.06,2024-07-12
INV-00600,Bago,Member,Fashion accessories,58.11,1,2.91,2024-03-17
INV-00690,Yangon,Member,Home and lifestyle,25.6,10,12.8,2024-11-07
INV-00730,Yangon,Member,Food and beverages,85.96,4,17.19,2024-12-26
INV-00312,Taunggyi,Normal,Food and beverages,24.41,8,9.76,2024-09-20
INV-00446,Mandalay,Member,Electronic accessories,53.16,1,2.66,2024-06-03
INV-00285,Bago,Member,Electronic accessories,69.24,4,13.85,2024-06-28
INV-00742,Yangon,Normal,Health and beauty,38.61,9,17.37,2024-07-01
INV-00239,Bago,Member,Sports and travel,92.32,3,13.85,2024-11-19
INV-00095,Taunggyi,Normal,Home and lifestyle,27.89,9,12.55,2024-10-27
INV-00435,Yangon,Normal,Sports and travel,36.05,9,16.22,2024-06-19
INV-00394,Yangon,Member,Fashion accessories,32.47,10,16.23,2024-12-30
INV-00992,Yangon,Normal,Electronic accessories,38.51,7,13.48,2024-12-09
INV-00480,Bago,Member,Home and lifestyle,98.25,7,34.39,2024-01-26
INV-00765,Yangon,Normal,Electronic accessories,67.43,2,6.74,2024-12-01
INV-00401,Bago,Normal,Food and beverages,72.67,1,3.63,2024-02-17
INV-00455,Naypyitaw,Member,Health and beauty,11.2,7,3.92,2024-06-01
INV-00011,Taunggyi,Member,Home and lifestyle,75.55,10,37.77,2024-02-06
INV-00836,Bago,Normal,Home and lifestyle,52.16,4,10.43,2024-01-04
INV-00259,Taunggyi,Member,Food and beverages,40.39,6,12.12,2024-04-10
INV-00117,Naypyitaw,Member,Sports and travel,61.14,2,6.11,2024-12-16
INV-00110,Yangon,Normal,Health and beauty,14.88,8,5.95,2024-11-26
INV-00300,Mandalay,Member,Electronic accessories,65.82,6,19.75,2024-01-06
INV-00551,Naypyitaw,Normal,Electronic accessories,36.36,3,5.45,2024-08-17
INV-00139,Taunggyi,Member,Food and beverages,38.37,10,19.18,2024-03-22
INV-00993,Bago,Member,Electronic accessories,38.57,1,1.93,2024-01-19
INV-00815,Yangon,Member,Fashion accessories,50.83,5,12.71,2024-07-26
INV-00024,Taunggyi,Member,Food and beverages,87.48,9,39.37,2024-09-14
INV-00219,Mandalay,Member,Fashion accessories,49.32,4,9.86,2024-06-10
INV-00178,Yangon,Normal,Electronic accessories,76.06,5,19.02,2024-06-07
INV-00205,Mandalay,Normal,Health and beauty,47.31,6,14.19,2024-06-28
INV-00203,Yangon,Member,Sports and travel,40.66,10,20.33,2024-09-15
INV-00018,Bago,Member,Fashion accessories,13.01,4,2.6,2024-12-10
INV-00031,Naypyitaw,Member,Fashion accessories,73.3,3,10.99,2024-06-12
INV-00769,Naypyitaw,Normal,Sports and travel,76.63,3,11.49,2024-12-31
INV-00974,Naypyitaw,Member,Fashion accessories,45.09,9,20.29,2024-09-08
INV-00688,Mandalay,Normal,Fashion accessories,40.22,7,14.08,2024-12-22
INV-00874,Naypyitaw,Member,Sports and travel,37.18,10,18.59,2024-11-24
INV-00344,Mandalay,Normal,Home and lifestyle,82.13,9,36.96,2024-02-27
INV-00861,Naypyitaw,Member,Health and beauty,62.87,4,12.57,2024-12-03
INV-00918,Bago,Normal,Sports and travel,60.83,9,27.37,2024-08-05
INV-00148,Yangon,Member,Fashion accessories,17.12,6,5.14,2024-06-11
INV-00707,Bago,Member,Electronic accessories,14.56,8,5.82,2024-05-05
INV-00652,Yangon,Normal,Sports and travel,88.8,2,8.88,2024-09-29
INV-00334,Taunggyi,Member,Home and lifestyle,28.57,5,7.14,2024-08-31
INV-00019,Taunggyi,Normal,Home and lifestyle,94.17,7,32.96,2024-05-13
INV-00982,Taunggyi,Normal,Fashion accessories,22.27,2,2.23,2024-01-28
INV-00978,Taunggyi,Member,Health and beauty,98.36,2,9.84,2024-08-17
INV-00362,Yangon,Normal,Health and beauty,35.12,7,12.29,2024-05-31
INV-00175,Mandalay,Normal,Electronic accessories,48.78,5,12.2,2024-06-13
INV-00422,Yangon,Normal,Home and lifestyle,98.58,3,14.79,2024-07-01
INV-00561,Mandalay,Normal,Health and beauty,96.06,6,28.82,2024-03-26
INV-00500,Taunggyi,Member,Sports and travel,44.81,5,11.2,2024-04-02
INV-00695,Yangon,Normal,Home and lifestyle,42.88,7,15.01,2024-10-29
INV-00581,Yangon,Member,Electronic accessories,17.41,6,5.22,2024-12-08
INV-00198,Mandalay,Member,Health and beauty,86.31,6,25.89,2024-07-28
INV-00582,Yangon,Normal,Home and lifestyle,67.0,9,30.15,2024-10-26
INV-00464,Bago,Member,Electronic accessories,33.27,4,6.65,2024-12-16
INV-00181,Bago,Member,Home and lifestyle,14.5,2,1.45,2024-06-03
INV-00901,Bago,Normal,Sports and travel,41.2,4,8.24,2024-05-27
INV-00109,Naypyitaw,Normal,Food and beverages,39.23,8,15.69,2024-08-01
INV-00964,Naypyitaw,Member,Sports and travel,40.72,9,18.32,2024-05-16
INV-00989,Naypyitaw,Member,Electronic accessories,57.87,10,28.93,2024-12-29
INV-00934,Taunggyi,Member,Sports and travel,83.2,9,37.44,2024-12-02
INV-00593,Naypyitaw,Normal,Sports and travel,92.41,2,9.24,2024-03-14
INV-00682,Yangon,Normal,Sports and travel,68.65,2,6.87,2024-04-08
INV-00763,Naypyitaw,Member,Food and beverages,62.16,1,3.11,2024-01-23
INV-00949,Yangon,Member,Fashion accessories,45.77,5,11.44,2024-11-27
INV-00702,Mandalay,Normal,Health and beauty,48.8,4,9.76,2024-07-14
INV-00639,Taunggyi,Member,Fashion accessories,43.5,6,13.05,2024-06-21
INV-00263,Bago,Member,Home and lifestyle,20.03,2,2.0,2024-02-15
INV-00186,Yangon,Normal,Food and beverages,65.3,8,26.12,2024-06-15
INV-00681,Naypyitaw,Normal,Health and beauty,26.57,2,2.66,2024-03-12
INV-00723,Naypyitaw,Normal,Sports and travel,62.57,5,15.64,2024-02-07
INV-00556,Mandalay,Member,Health and beauty,17.7,10,8.85,2024-10-13
INV-00891,Mandalay,Normal,Food and beverages,14.41,2,1.44,2024-08-25
INV-00926,Mandalay,Normal,Food and beverages,83.06,7,29.07,2024-06-11
INV-00143,Naypyitaw,Normal,Sports and travel,12.75,8,5.1,2024-01-06
INV-00522,Bago,Member,Electronic accessories,57.8,10,28.9,2024-10-29
INV-00997,Taunggyi,Member,Sports and travel,89.35,6,26.8,2024-11-14
INV-00825,Yangon,Member,Fashion accessories,58.36,5,14.59,2024-06-28
INV-00417,Yangon,Normal,Electronic accessories,42.34,6,12.7,2024-03-14
INV-00520,Yangon,Normal,Health and beauty,90.33,6,27.1,2024-08-20
INV-00689,Yangon,Member,Home and lifestyle,49.58,7,17.35,2024-11-14
INV-00984,Mandalay,Normal,Sports and travel,38.94,6,11.68,2024-07-30
INV-00061,Yangon,Member,Health and beauty,16.8,2,1.68,2024-08-24
INV-00408,Naypyitaw,Normal,Home and lifestyle,11.36,1,0.57,2024-07-10
INV-00512,Mandalay,Member,Home and lifestyle,99.98,7,34.99,2024-06-29
INV-00248,Mandalay,Member,Fashion accessories,85.99,6,25.8,2024-02-19
INV-00548,Yangon,Normal,Electronic accessories,83.16,1,4.16,2024-11-05
INV-00701,Yangon,Normal,Sports and travel,30.51,3,4.58,2024-03-26
INV-00325,Naypyitaw,Member,Sports and travel,15.68,4,3.14,2024-02-12
INV-00426,Yangon,Member,Fashion accessories,33.05,9,14.87,2024-06-08
INV-00439,Yangon,Member,Sports and travel,68.22,3,10.23,2024-05-23
INV-00945,Naypyitaw,Member,Electronic accessories,35.3,6,10.59,2024-03-11
INV-00796,Taunggyi,Normal,Sports and travel,46.12,1,2.31,2024-08-22
INV-00843,Naypyitaw,Member,Home and lifestyle,54.48,4,10.9,2024-05-16
INV-00035,Yangon,Member,Fashion accessories,65.25,3,9.79,2024-11-06
INV-00875,Yangon,Member,Fashion accessories,80.96,7,28.34,2024-01-07
INV-00590,Yangon,Member,Sports and travel,38.56,7,13.5,2024-06-04
INV-00124,Yangon,Member,Electronic accessories,88.53,7,30.99,2024-04-15
INV-00147,Taunggyi,Member,Electronic accessories,37.12,6,11.14,2024-11-17
INV-00494,Yangon,Member,Sports and travel,57.36,9,25.81,2024-06-05
INV-00399,Mandalay,Member,Fashion accessories,49.83,6,14.95,2024-12-10
INV-00022,Bago,Member,Health and beauty,41.09,4,8.22,2024-07-15
INV-00046,Naypyitaw,Normal,Health and beauty,78.16,5,19.54,2024-02-18
INV-00893,Naypyitaw,Normal,Home and lifestyle,22.38,4,4.48,2024-02-08
INV-00749,Mandalay,Normal,Health and beauty,89.54,8,35.82,2024-11-11
INV-00700,Yangon,Member,Sports and travel,22.26,9,10.02,2024-08-19
INV-00122,Yangon,Member,Home and lifestyle,43.32,6,13.0,2024-02-06
INV-00275,Bago,Member,Home and lifestyle,84.89,8,33.96,2024-08-17
INV-00166,Mandalay,Normal,Electronic accessories,58.78,6,17.63,2024-01-18
INV-00974,Naypyitaw,Member,Fashion accessories,45.09,9,20.29,2024-09-08
INV-00884,Yangon,Member,Food and beverages,41.66,5,10.41,2024-09-05
INV-00947,Taunggyi,Normal,Electronic accessories,24.26,9,10.92,2024-10-16
INV-00228,Taunggyi,Member,Sports and travel,66.11,8,26.44,2024-04-12
INV-00969,Bago,Normal,Health and beauty,85.32,1,4.27,2024-08-06
INV-00484,Mandalay,Normal,Fashion accessories,43.43,7,15.2,2024-03-13
INV-00302,Naypyitaw,Normal,Food and beverages,17.87,10,8.94,2024-03-28
INV-00437,Mandalay,Member,Fashion accessories,46.06,4,9.21,2024-10-05
INV-00559,Mandalay,Member,Home and lifestyle,16.69,2,1.67,2024-09-11
INV-00091,Bago,Normal,Home and lifestyle,15.51,3,2.33,2024-11-16
INV-00518,Yangon,Member,Sports and travel,97.34,5,24.34,2024-08-06
INV-00158,Naypyitaw,Member,Home and lifestyle,12.43,9,5.59,2024-08-30
INV-00679,Bago,Member,Food and beverages,64.34,5,16.09,2024-02-27
INV-00564,Bago,Member,Food and beverages,58.66,5,14.66,2024-06-24
INV-00391,Taunggyi,Normal,Health and beauty,95.75,7,33.51,2024-12-13
INV-00970,Naypyitaw,Member,Sports and travel,82.69,4,16.54,2024-10-06
INV-00111,Bago,Normal,Electronic accessories,89.72,5,22.43,2024-10-13
INV-00131,Bago,Member,Food and beverages,93.84,4,18.77,2024-07-26
INV-00367,Mandalay,Member,Sports and travel,95.78,5,23.95,2024-04-16
INV-00005,Bago,Normal,Food and beverages,56.12,8,22.45,2024-03-06
INV-00272,Taunggyi,Normal,Sports and travel,23.84,9,10.73,2024-01-28
INV-00479,Naypyitaw,Member,Fashion accessories,90.22,5,22.56,2024-04-30
INV-00629,Bago,Member,Home and lifestyle,92.65,3,13.9,2024-07-16
INV-00027,Bago,Member,Health and beauty,66.02,4,13.2,2024-07-11
INV-00486,Naypyitaw,Member,Fashion accessories,53.29,10,26.64,2024-02-17
INV-00050,Yangon,Member,Home and lifestyle,23.26,3,3.49,2024-07-02
INV-00721,Bago,Member,Electronic accessories,22.56,5,5.64,2024-04-21
INV-00125,Bago,Member,Food and beverages,40.56,10,20.28,2024-11-08
INV-00637,Taunggyi,Member,Food and beverages,16.44,2,1.64,2024-06-25
INV-00258,Bago,Normal,Health and beauty,38.86,8,15.54,2024-07-02
INV-00944,Taunggyi,Member,Sports and travel,90.96,7,31.84,2024-08-15
INV-00786,Yangon,Member,Food and beverages,23.95,8,9.58,2024-02-21
INV-00547,Taunggyi,Normal,Electronic accessories,87.46,9,39.36,2024-11-18
INV-00589,Naypyitaw,Member,Sports and travel,31.49,5,7.87,2024-02-25
INV-00133,Yangon,Normal,Fashion accessories,25.75,4,5.15,2024-02-09
INV-00760,Taunggyi,Normal,Home and lifestyle,69.8,8,27.92,2024-04-22
INV-00532,Naypyitaw,Member,Home and lifestyle,13.67,7,4.78,2024-12-16
INV-00116,Bago,Member,Health and beauty,24.37,1,1.22,2024-10-09
INV-00217,Taunggyi,Normal,Health and beauty,82.5,9,37.12,2024-07-07
INV-00333,Mandalay,Member,Electronic accessories,78.24,10,39.12,2024-12-07
INV-00811,Yangon,Normal,Electronic accessories,89.94,7,31.48,2024-12-06
INV-00803,Bago,Member,Fashion accessories,77.07,2,7.71,2024-03-01
INV-00666,Taunggyi,Normal,Health and beauty,33.86,4,6.77,2024-12-24
INV-00665,Taunggyi,Normal,Home and lifestyle,28.52,7,9.98,2024-08-28
INV-00185,Taunggyi,Normal,Sports and travel,44.24,10,22.12,2024-09-26
INV-00004,Naypyitaw,Member,Electronic accessories,86.58,2,8.66,2024-07-11
INV-00470,Mandalay,Normal,Food and beverages,24.82,8,9.93,2024-07-07
INV-00852,Bago,Member,Sports and travel,37.58,7,13.15,2024-08-05
INV-00325,Naypyitaw,Member,Sports and travel,15.68,4,3.14,2024-02-12
INV-00014,Yangon,Normal,Sports and travel,75.8,10,37.9,2024-06-06
INV-00541,Taunggyi,Member,Health and beauty,14.19,4,2.84,2024-05-31
INV-00873,Naypyitaw,Normal,Home and lifestyle,26.39,5,6.6,2024-12-25
INV-00871,Taunggyi,Normal,Electronic accessories,57.49,3,8.62,2024-01-03
INV-00937,Taunggyi,Member,Sports and travel,14.8,7,5.18,2024-06-18
INV-00127,Taunggyi,Member,Home and lifestyle,73.22,4,14.64,2024-06-19
INV-00659,Mandalay,Member,Food and beverages,41.04,3,6.16,2024-12-17
INV-00727,Yangon,Normal,Food and beverages,29.06,4,5.81,2024-05-13
INV-00542,Naypyitaw,Normal,Health and beauty,70.05,8,28.02,2024-02-12
INV-00039,Bago,Normal,Home and lifestyle,42.24,6,12.67,2024-02-21
INV-00042,Naypyitaw,Member,Electronic accessories,67.37,3,10.11,2024-06-04
INV-00319,Taunggyi,Normal,Health and beauty,28.15,3,4.22,2024-08-14
INV-00820,Naypyitaw,Member,Electronic accessories,83.21,1,4.16,2024-05-07
INV-00078,Bago,Normal,Health and beauty,91.21,5,22.8,2024-12-04
INV-00240,Mandalay,Member,Fashion accessories,71.25,10,35.62,2024-07-28
INV-00660,Mandalay,Member,Sports and travel,15.33,7,5.37,2024-01-28
INV-00799,Mandalay,Member,Fashion accessories,25.75,2,2.58,2024-03-06
INV-00155,Naypyitaw,Member,Health and beauty,16.25,7,5.69,2024-07-13
INV-00067,Mandalay,Normal,Fashion accessories,73.04,10,36.52,2024-06-13
INV-01000,Yangon,Normal,Home and lifestyle,45.12,10,22.56,2024-01-13
INV-00193,Yangon,Member,Food and beverages,35.8,2,3.58,2024-02-06
INV-00858,Yangon,Member,Food and beverages,19.22,7,6.73,2024-02-28
INV-00114,Naypyitaw,Normal,Food and beverages,40.4,5,10.1,2024-07-02
INV-00357,Naypyitaw,Member,Fashion accessories,62.83,3,9.42,2024-02-11
INV-00657,Bago,Member,Sports and travel,92.3,1,4.62,2024-01-23
INV-00936,Mandalay,Normal,Home and lifestyle,95.69,7,33.49,2024-05-27
INV-00010,Yangon,Normal,Home and lifestyle,21.37,2,2.14,2024-06-12
INV-00924,Naypyitaw,Normal,Health and beauty,23.8,4,4.76,2024-06-12
INV-00932,Naypyitaw,Normal,Food and beverages,49.56,10,24.78,2024-05-14
INV-00595,Naypyitaw,Normal,Electronic accessories,47.1,4,9.42,2024-06-26
INV-00764,Bago,Member,Health and beauty,34.12,5,8.53,2024-05-08
INV-00788,Naypyitaw,Normal,Sports and travel,76.56,5,19.14,2024-03-01
INV-00578,Naypyitaw,Member,Home and lifestyle,39.3,10,19.65,2024-02-13
INV-00778,Mandalay,Member,Health and beauty,37.29,9,16.78,2024-08-30
INV-00206,Bago,Member,Fashion accessories,75.19,2,7.52,2024-08-15
INV-00261,Naypyitaw,Normal,Health and beauty,35.01,7,12.25,2024-08-29
INV-00647,Naypyitaw,Normal,Sports and travel,70.1,1,3.5,2024-09-12
INV-00265,Mandalay,Normal,Food and beverages,40.61,7,14.21,2024-05-09
INV-00961,Mandalay,Normal,Electronic accessories,15.13,6,4.54,2024-07-12
INV-00550,Yangon,Normal,Health and beauty,51.38,5,12.85,2024-04-07
INV-00737,Taunggyi,Normal,Food and beverages,97.14,7,34.0,2024-01-20
INV-00280,Mandalay,Normal,Food and beverages,84.81,6,25.44,2024-07-24
INV-00347,Mandalay,Normal,Home and lifestyle,71.68,3,10.75,2024-05-06
INV-00655,Naypyitaw,Normal,Fashion accessories,44.4,8,17.76,2024-12-29
INV-00631,Taunggyi,Member,Health and beauty,12.25,7,4.29,2024-12-02
INV-00160,Mandalay,Member,Fashion accessories,17.72,4,3.54,2024-10-07
INV-00513,Mandalay,Normal,Home and lifestyle,91.45,2,9.15,2024-07-06
INV-00576,Yangon,Normal,Food and beverages,75.31,2,7.53,2024-06-08
INV-00661,Taunggyi,Normal,Fashion accessories,75.23,6,22.57,2024-09-12
INV-00759,Bago,Member,Sports and travel,96.07,8,38.43,2024-01-09
INV-00237,Bago,Member,Fashion accessories,40.03,5,10.01,2024-06-20
INV-00814,Taunggyi,Member,Electronic accessories,57.45,7,20.11,2024-10-31
INV-00540,Bago,Member,Home and lifestyle,87.79,2,8.78,2024-07-01
INV-00073,Yangon,Normal,Home and lifestyle,42.41,8,16.96,2024-05-24
INV-00890,Mandalay,Member,Health and beauty,16.99,10,8.49,2024-09-06
INV-00719,Mandalay,Member,Electronic accessories,15.16,10,7.58,2024-11-25
INV-00088,Mandalay,Normal,Fashion accessories,84.01,6,25.2,2024-02-05
INV-00173,Naypyitaw,Member,Sports and travel,38.46,2,3.85,2024-12-11
INV-00033,Taunggyi,Normal,Food and beverages,75.04,8,30.02,2024-06-06
INV-00201,Taunggyi,Normal,Electronic accessories,27.91,10,13.96,2024-06-07
INV-00878,Bago,Member,Electronic accessories,50.21,7,17.57,2024-01-29
INV-00713,Mandalay,Member,Food and beverages,33.38,9,15.02,2024-01-16
INV-00161,Bago,Normal,Health and beauty,82.7,9,37.22,2024-05-01
INV-00023,Yangon,Member,Food and beverages,51.25,1,2.56,2024-02-19
INV-00467,Yangon,Normal,Health and beauty,71.4,5,17.85,2024-06-18
INV-00733,Bago,Member,Sports and travel,38.36,10,19.18,2024-08-20
INV-00382,Taunggyi,Normal,Electronic accessories,44.61,4,8.92,2024-12-14
INV-00298,Mandalay,Member,Fashion accessories,41.38,3,6.21,2024-04-14
INV-00466,Yangon,Normal,Electronic accessories,97.5,2,9.75,2024-03-09
INV-00774,Mandalay,Member,Home and lifestyle,29.85,1,1.49,2024-06-11
INV-00824,Yangon,Normal,Fashion accessories,84.57,10,42.28,2024-06-18
INV-00899,Bago,Member,Health and beauty,55.23,8,22.09,2024-07-10
INV-00184,Naypyitaw,Normal,Food and beverages,22.12,4,4.42,2024-12-05
INV-00374,Naypyitaw,Member,Home and lifestyle,64.63,3,9.69,2024-05-10
INV-00314,Yangon,Normal,Food and beverages,55.53,1,2.78,2024-10-17
INV-00962,Bago,Member,Sports and travel,74.16,1,3.71,2024-08-23
INV-00274,Mandalay,Normal,Electronic accessories,75.24,2,7.52,2024-08-22
INV-00341,Bago,Normal,Food and beverages,94.3,7,33.01,2024-05-10
INV-00207,Mandalay,Normal,Health and beauty,76.27,1,3.81,2024-07-01
INV-00710,Taunggyi,Member,Sports and travel,12.56,6,3.77,2024-12-15
INV-00864,Bago,Member,Electronic accessories,23.35,3,3.5,2024-04-29
INV-00931,Bago,Normal,Health and beauty,33.37,2,3.34,2024-10-19
INV-00856,Yangon,Member,Home and lifestyle,98.79,3,14.82,2024-09-07
INV-00411,Naypyitaw,Normal,Electronic accessories,21.11,1,1.06,2024-03-14
INV-00079,Mandalay,Member,Fashion accessories,11.85,1,0.59,2024-03-27
INV-00499,Naypyitaw,Normal,Sports and travel,56.9,10,28.45,2024-08-13
INV-00833,Naypyitaw,Normal,Electronic accessories,23.51,8,9.4,2024-08-30
INV-00096,Naypyitaw,Normal,Health and beauty,30.6,4,6.12,2024-06-12
INV-00350,Mandalay,Normal,Sports and travel,91.82,1,4.59,2024-11-04
INV-00005,Bago,Normal,Food and beverages,56.12,8,22.45,2024-03-06
INV-00698,Bago,Member,Home and lifestyle,24.75,3,3.71,2024-08-17
INV-00145,Yangon,Normal,Food and beverages,13.04,8,5.22,2024-12-01
INV-00048,Bago,Normal,Health and beauty,68.35,2,6.83,2024-01-05
INV-00202,Taunggyi,Member,Home and lifestyle,80.66,9,36.3,2024-08-24
INV-00544,Yangon,Member,Electronic accessories,67.93,2,6.79,2024-05-05
INV-00099,Mandalay,Member,Health and beauty,45.12,1,2.26,2024-10-19
INV-00183,Bago,Normal,Fashion accessories,43.63,1,2.18,2024-07-08
INV-00798,Mandalay,Member,Electronic accessories,21.31,6,6.39,2024-10-07
INV-00065,Yangon,Member,Fashion accessories,20.27,7,7.09,2024-01-20
INV-00101,Mandalay,Member,Food and beverages,75.81,10,37.91,2024-08-06
INV-00461,Mandalay,Normal,Food and beverages,54.69,8,21.88,2024-11-30
INV-00303,Yangon,Normal,Home and lifestyle,44.15,3,6.62,2024-10-28
INV-00771,Bago,Normal,Sports and travel,61.87,4,12.37,2024-08-29
INV-00179,Taunggyi,Member,Electronic accessories,31.27,9,14.07,2024-12-17
INV-00883,Naypyitaw,Member,Home and lifestyle,15.92,5,3.98,2024-04-11
INV-00845,Bago,Member,Home and lifestyle,24.28,10,12.14,2024-04-30
INV-00243,Taunggyi,Normal,Home and lifestyle,65.08,10,32.54,2024-10-10
INV-00458,Taunggyi,Member,Electronic accessories,81.05,7,28.37,2024-02-03
INV-00006,Taunggyi,Member,Electronic accessories,26.37,2,2.64,2024-01-26
INV-00722,Bago,Member,Sports and travel,44.03,3,6.6,2024-06-19
INV-00150,Naypyitaw,Normal,Health and beauty,80.42,9,36.19,2024-12-16
INV-00075,Taunggyi,Normal,Home and lifestyle,53.1,4,10.62,2024-12-09
INV-00986,Naypyitaw,Normal,Home and lifestyle,11.79,8,4.72,2024-11-25
INV-00906,Mandalay,Member,Fashion accessories,22.29,6,6.69,2024-01-14
INV-00001,Mandalay,Member,Sports and travel,13.47,3,2.02,2024-08-24
INV-00311,Yangon,Normal,Health and beauty,87.25,8,34.9,2024-05-03
INV-00762,Bago,Normal,Food and beverages,35.6,4,7.12,2024-07-20
INV-00527,Mandalay,Normal,Fashion accessories,90.04,3,13.51,2024-06-12
INV-00286,Bago,Member,Sports and travel,87.87,9,39.54,2024-04-07
INV-00748,Mandalay,Member,Fashion accessories,44.94,2,4.49,2024-05-05
INV-00474,Bago,Member,Fashion accessories,80.84,7,28.29,2024-12-22
