response_id,respondent_id,question,rating,date
194,R0192,Ease of Use,3,2024-11-14
195,R0016,Customer Service,3,2024-01-23
196,R0149,Customer Service,5,2024-01-14
197,R0055,Delivery Speed,2,2024-06-09
198,R0262,Overall Satisfaction,5,2024-10-24
199,R0177,Customer Service,4,2024-10-25
200,R0017,Overall Satisfaction,2,2024-07-14
201,R0041,Product Quality,2,2024-10-16
202,R0258,Delivery Speed,5,2024-08-02
203,R0276,Overall Satisfaction,1,2024-09-27
204,R0027,Delivery Speed,4,2024-12-03
205,R0269,Delivery Speed,4,2024-06-11
206,R0138,Customer Service,5,2024-05-30
207,R0125,Value for Money,2,2024-07-04
208,R0119,Ease of Use,3,2024-02-29
209,R0124,Ease of Use,4,2024-07-04
210,R0041,Value for Money,5,2024-09-15
211,R0040,Value for Money,4,2024-11-05
212,R0118,Ease of Use,4,2024-04-27
213,R0292,Customer Service,5,2024-05-05
214,R0209,Overall Satisfaction,5,2024-12-06
215,R0071,Delivery Speed,3,2024-05-26
216,R0175,Value for Money,1,2024-02-11
217,R0210,Ease of Use,5,2024-03-16
218,R0295,Ease of Use,2,2024-04-02
219,R0233,Product Quality,2,2024-03-02
220,R0215,Value for Money,5,2024-12-30
221,R0241,Overall Satisfaction,1,2024-03-05
222,R0018,Ease of Use,1,2024-12-19
223,R0086,Product Quality,2,2024-09-20
224,R0272,Ease of Use,4,2024-06-30
225,R0066,Ease of Use,5,2024-05-03
226,R0151,Product Quality,3,2024-06-21
227,R0056,Overall Satisfaction,1,2024-02-07
228,R0182,Ease of Use,4,2024-11-18
229,R0231,Overall Satisfaction,4,2024-05-28
230,R0245,Overall Satisfaction,2,2024-04-03
231,R0261,Product Quality,2,2024-01-04
232,R0190,Overall Satisfaction,4,2024-07-13
233,R0165,Ease of Use,2,2024-09-17
234,R0144,Product Quality,2,2024-06-01
235,R0253,Value for Money,1,2024-10-15
236,R0266,Delivery Speed,5,2024-09-17
237,R0219,Value for Money,3,2024-07-15
238,R0164,Customer Service,2,2024-01-22
239,R0108,Ease of Use,5,2024-05-22
240,R0295,Delivery Speed,3,2024-02-20
241,R0178,Value for Money,2,2024-03-01
242,R0148,Value for Money,4,2024-08-12
243,R0115,Customer Service,3,2024-05-12
244,R0055,Customer Service,3,2024-03-13
245,R0050,Customer Service,5,2024-09-17
246,R0087,Product Quality,5,2024-01-21
247,R0277,Delivery Speed,2,2024-01-04
248,R0251,Product Quality,3,2024-04-14
249,R0145,Delivery Speed,4,2024-08-15
250,R0267,Customer Service,4,2024-05-31
251,R0057,Overall Satisfaction,1,2024-08-15
252,R0222,Ease of Use,3,2024-02-14
253,R0071,Value for Money,1,2024-06-30
254,R0041,Overall Satisfaction,2,2024-02-08
255,R0168,Customer Service,5,2024-06-20
256,R0142,Ease of Use,5,2024-12-10
257,R0038,Overall Satisfaction,3,2024-01-20
258,R0222,Product Quality,5,2024-06-11
259,R0098,Delivery Speed,1,2024-11-20
260,R0005,Customer Service,2,2024-10-27
261,R0193,Customer Service,2,2024-05-15
262,R0241,Customer Service,4,2024-04-05
263,R0255,Value for Money,2,2024-04-11
264,R0046,Delivery Speed,2,2024-01-02
265,R0223,Product Quality,4,2024-10-12
266,R0107,Overall Satisfaction,2,2024-01-20
267,R0215,Overall Satisfaction,3,2024-11-10
268,R0195,Overall Satisfaction,5,2024-04-30
269,R0179,Ease of Use,5,2024-12-02
270,R0093,Value for Money,2,2024-05-29
271,R0249,Ease of Use,4,2024-11-02
272,R0183,Delivery Speed,4,2024-05-31
273,R0050,Customer Service,1,2024-05-27
274,R0215,Ease of Use,3,2024-05-06
275,R0218,Product Quality,2,2024-08-25
276,R0164,Overall Satisfaction,1,2024-06-26
277,R0204,Overall Satisfaction,2,2024-09-04
278,R0251,Delivery Speed,4,2024-12-17
279,R0121,Product Quality,3,2024-05-17
280,R0260,Customer Service,4,2024-02-01
281,R0288,Value for Money,3,2024-12-11
282,R0163,Ease of Use,4,2024-08-14
283,R0218,Ease of Use,3,2024-01-28
284,R0138,Ease of Use,2,2024-06-22
285,R0024,Value for Money,4,2024-07-28
286,R0114,Delivery Speed,2,2024-10-01
287,R0106,Overall Satisfaction,1,2024-11-10
288,R0169,Customer Service,5,2024-10-03
289,R0011,Overall Satisfaction,1,2024-07-13
290,R0047,Overall Satisfaction,3,2024-06-29
291,R0284,Product Quality,1,2024-09-22
292,R0108,Value for Money,5,2024-04-11
293,R0081,Delivery Speed,4,2024-04-27
294,R0149,Customer Service,3,2024-06-18
295,R0212,Customer Service,5,2024-05-07
296,R0007,Product Quality,1,2024-09-26
297,R0053,Delivery Speed,4,2024-09-05
298,R0022,Customer Service,3,2024-06-03
299,R0013,Customer Service,2,2024-01-18
300,R0140,Overall Satisfaction,1,2024-07-12
301,R0206,Customer Service,3,2024-02-13
302,R0040,Product Quality,5,2024-12-26
303,R0213,Product Quality,1,2024-10-04
304,R0078,Product Quality,5,2024-07-19
305,R0100,Delivery Speed,3,2024-06-14
306,R0218,Delivery Speed,1,2024-06-03
307,R0141,Ease of Use,2,2024-02-21
308,R0136,Overall Satisfaction,5,2024-08-29
309,R0193,Value for Money,4,2024-02-17
310,R0114,Ease of Use,5,2024-05-22
311,R0248,Value for Money,5,2024-09-16
312,R0126,Ease of Use,1,2024-09-11
313,R0202,Value for Money,5,2024-12-31
314,R0056,Ease of Use,2,2024-10-22
315,R0013,Ease of Use,2,2024-08-16
316,R0190,Ease of Use,5,2024-02-25
317,R0160,Value for Money,2,2024-11-18
318,R0043,Product Quality,5,2024-03-27
319,R0107,Ease of Use,5,2024-05-07
320,R0043,Customer Service,4,2024-11-11
321,R0243,Delivery Speed,5,2024-04-29
322,R0031,Ease of Use,3,2024-07-29
323,R0160,Overall Satisfaction,3,2024-03-18
324,R0019,Value for Money,5,2024-11-02
325,R0209,Product Quality,3,2024-12-19
326,R0108,Delivery Speed,4,2024-10-06
327,R0256,Value for Money,2,2024-06-13
328,R0237,Overall Satisfaction,4,2024-09-20
329,R0285,Overall Satisfaction,1,2024-02-23
330,R0218,Overall Satisfaction,1,2024-07-11
331,R0066,Product Quality,2,2024-09-23
332,R0063,Customer Service,2,2024-08-12
333,R0059,Product Quality,4,2024-09-10
334,R0088,Overall Satisfaction,5,2024-09-06
335,R0072,Overall Satisfaction,5,2024-08-02
336,R0205,Product Quality,3,2024-03-01
337,R0223,Value for Money,3,2024-09-24
338,R0166,Delivery Speed,3,2024-10-15
339,R0085,Customer Service,3,2024-09-24
340,R0105,Delivery Speed,3,2024-09-22
341,R0129,Ease of Use,4,2024-04-17
342,R0170,Overall Satisfaction,2,2024-03-25
343,R0269,Overall Satisfaction,4,2024-01-06
344,R0163,Ease of Use,2,2024-03-17
345,R0241,Product Quality,1,2024-06-08
346,R0097,Customer Service,1,2024-10-02
347,R0235,Value for Money,1,2024-02-01
348,R0240,Delivery Speed,2,2024-02-04
349,R0180,Overall Satisfaction,5,2024-04-25
350,R0177,Overall Satisfaction,1,2024-04-08
351,R0141,Value for Money,4,2024-10-26
352,R0157,Value for Money,5,2024-07-25
353,R0131,Delivery Speed,5,2024-11-24
354,R0104,Product Quality,5,2024-03-19
355,R0053,Overall Satisfaction,2,2024-05-23
356,R0092,Value for Money,5,2024-02-22
357,R0065,Delivery Speed,5,2024-11-26
358,R0197,Value for Money,5,2024-10-30
359,R0142,Overall Satisfaction,5,2024-12-08
360,R0243,Customer Service,2,2024-01-02
361,R0119,Customer Service,1,2024-11-10
362,R0076,Customer Service,2,2024-08-31
363,R0001,Value for Money,1,2024-01-27
364,R0071,Delivery Speed,4,2024-08-05
365,R0242,Value for Money,3,2024-09-13
366,R0061,Customer Service,5,2024-07-20
367,R0194,Ease of Use,4,2024-06-30
368,R0160,Delivery Speed,3,2024-09-28
369,R0041,Delivery Speed,2,2024-03-26
370,R0143,Overall Satisfaction,2,2024-08-11
371,R0287,Ease of Use,4,2024-12-21
372,R0129,Overall Satisfaction,1,2024-10-12
373,R0223,Overall Satisfaction,3,2024-04-01
374,R0013,Value for Money,4,2024-12-09
375,R0178,Overall Satisfaction,4,2024-04-19
376,R0287,Customer Service,4,2024-07-10
377,R0092,Overall Satisfaction,1,2024-04-10
378,R0227,Value for Money,5,2024-04-09
379,R0003,Delivery Speed,3,2024-06-17
380,R0049,Value for Money,3,2024-09-14
381,R0007,Delivery Speed,3,2024-01-18
382,R0141,Overall Satisfaction,4,2024-07-22
383,R0023,Overall Satisfaction,3,2024-05-20
384,R0030,Delivery Speed,1,2024-08-29
385,R0233,Ease of Use,2,2024-08-30
386,R0280,Product Quality,1,2024-07-08
387,R0015,Delivery Speed,2,2024-12-27
388,R0091,Customer Service,1,2024-08-02
389,R0062,Product Quality,4,2024-11-22
390,R0032,Value for Money,1,2024-10-05
391,R0143,Customer Service,5,2024-01-09
392,R0171,Overall Satisfaction,3,2024-12-29
393,R0087,Delivery Speed,3,2024-09-21
394,R0008,Overall Satisfaction,4,2024-08-01
395,R0032,Product Quality,2,2024-09-13
396,R0076,Overall Satisfaction,3,2024-02-12
397,R0089,Ease of Use,1,2024-05-21
398,R0102,Overall Satisfaction,5,2024-07-28
399,R0089,Overall Satisfaction,1,2024-06-08
400,R0141,Delivery Speed,3,2024-03-01
401,R0175,Ease of Use,5,2024-12-22
402,R0045,Delivery Speed,4,2024-02-15
403,R0060,Product Quality,2,2024-02-14
404,R0096,Value for Money,5,2024-11-16
405,R0011,Customer Service,1,2024-04-21
406,R0192,Ease of Use,1,2024-05-06
407,R0158,Overall Satisfaction,2,2024-03-08
408,R0159,Product Quality,4,2024-12-27
409,R0147,Customer Service,3,2024-03-12
410,R0290,Value for Money,4,2024-04-25
411,R0097,Value for Money,2,2024-03-31
412,R0152,Value for Money,4,2024-05-15
413,R0048,Ease of Use,3,2024-10-23
414,R0187,Value for Money,5,2024-08-18
415,R0088,Product Quality,5,2024-07-16
416,R0080,Delivery Speed,5,2024-04-17
417,R0223,Value for Money,3,2024-04-16
418,R0176,Overall Satisfaction,5,2024-10-09
419,R0138,Product Quality,5,2024-04-17
420,R0133,Customer Service,4,2024-05-13
421,R0017,Product Quality,5,2024-12-03
422,R0096,Ease of Use,2,2024-08-27
423,R0166,Value for Money,5,2024-07-12
424,R0018,Value for Money,1,2024-11-18
425,R0184,Product Quality,2,2024-08-03
426,R0244,Value for Money,3,2024-11-27
427,R0052,Customer Service,3,2024-06-05
428,R0084,Ease of Use,5,2024-04-05
429,R0012,Ease of Use,5,2024-08-21
430,R0295,Overall Satisfaction,4,2024-07-23
431,R0243,Customer Service,3,2024-07-10
432,R0173,Ease of Use,4,2024-06-02
433,R0021,Customer Service,5,2024-02-25
434,R0216,Ease of Use,3,2024-10-22
435,R0206,Delivery Speed,1,2024-03-24
436,R0263,Customer Service,3,2024-11-01
437,R0269,Customer Service,5,2024-03-12
438,R0067,Overall Satisfaction,3,2024-01-28
439,R0047,Value for Money,2,2024-06-26
440,R0235,Ease of Use,2,2024-08-23
441,R0001,Overall Satisfaction,2,2024-04-12
442,R0089,Value for Money,3,2024-02-11
443,R0095,Customer Service,2,2024-08-11
444,R0047,Overall Satisfaction,2,2024-03-19
445,R0285,Value for Money,1,2024-09-01
446,R0082,Value for Money,1,2024-08-29
447,R0282,Overall Satisfaction,4,2024-12-23
448,R0109,Ease of Use,4,2024-08-25
449,R0125,Product Quality,4,2024-03-06
450,R0163,Customer Service,4,2024-06-16
451,R0145,Overall Satisfaction,4,2024-11-01
452,R0202,Delivery Speed,1,2024-06-26
453,R0251,Overall Satisfaction,5,2024-01-14
454,R0114,Delivery Speed,2,2024-04-30
455,R0189,Value for Money,3,2024-09-13
456,R0001,Delivery Speed,5,2024-07-22
457,R0040,Overall Satisfaction,2,2024-03-11
458,R0256,Customer Service,1,2024-04-18
459,R0155,Ease of Use,1,2024-06-22
460,R0197,Overall Satisfaction,2,2024-08-05
461,R0078,Value for Money,3,2024-07-17
462,R0247,Product Quality,3,2024-08-03
463,R0092,Customer Service,4,2024-12-15
464,R0265,Product Quality,4,2024-02-12
465,R0178,Overall Satisfaction,1,2024-12-01
466,R0208,Product Quality,2,2024-06-12
467,R0066,Delivery Speed,5,2024-07-15
468,R0233,Product Quality,4,2024-11-30
469,R0206,Ease of Use,1,2024-06-04
470,R0218,Value for Money,1,2024-11-05
471,R0231,Delivery Speed,3,2024-08-30
472,R0172,Delivery Speed,3,2024-02-27
473,R0092,Ease of Use,5,2024-07-15
474,R0041,Customer Service,1,2024-06-21
475,R0133,Customer Service,5,2024-11-10
476,R0233,Ease of Use,1,2024-08-25
477,R0145,Product Quality,1,2024-09-07
478,R0236,Value for Money,1,2024-11-02
479,R0190,Value for Money,4,2024-06-21
480,R0152,Product Quality,5,2024-05-16
481,R0092,Value for Money,3,2024-08-01
482,R0009,Ease of Use,3,2024-06-01
483,R0019,Delivery Speed,1,2024-07-01
484,R0019,Delivery Speed,4,2024-05-07
485,R0090,Product Quality,5,2024-02-18
486,R0065,Overall Satisfaction,2,2024-11-20
487,R0253,Ease of Use,3,2024-06-25
488,R0235,Overall Satisfaction,5,2024-05-04
489,R0269,Delivery Speed,4,2024-01-21
490,R0040,Value for Money,3,2024-01-20
491,R0076,Delivery Speed,1,2024-07-14
492,R0263,Overall Satisfaction,1,2024-06-21
493,R0155,Ease of Use,4,2024-01-12
494,R0095,Overall Satisfaction,3,2024-11-30
495,R0041,Ease of Use,1,2024-04-08
496,R0293,Value for Money,3,2024-11-11
497,R0264,Delivery Speed,2,2024-12-21
498,R0026,Value for Money,5,2024-08-30
499,R0111,Ease of Use,3,2024-12-18
500,R0096,Value for Money,5,2024-12-09
501,R0024,Delivery Speed,4,2024-04-02
502,R0146,Value for Money,1,2024-07-27
503,R0107,Product Quality,4,2024-12-02
504,R0067,Value for Money,3,2024-08-24
505,R0163,Product Quality,2,2024-04-25
506,R0010,Overall Satisfaction,3,2024-04-23
507,R0033,Delivery Speed,3,2024-12-30
508,R0236,Delivery Speed,4,2024-11-21
509,R0169,Delivery Speed,4,2024-08-31
510,R0286,Product Quality,3,2024-06-23
511,R0164,Value for Money,4,2024-03-18
512,R0237,Overall Satisfaction,4,2024-04-17
513,R0273,Overall Satisfaction,2,2024-12-10
514,R0200,Value for Money,4,2024-01-17
515,R0293,Product Quality,4,2024-10-14
516,R0177,Product Quality,2,2024-09-28
517,R0190,Value for Money,3,2024-06-10
518,R0232,Overall Satisfaction,4,2024-01-16
519,R0080,Delivery Speed,5,2024-03-26
520,R0181,Delivery Speed,4,2024-07-31
521,R0012,Value for Money,5,2024-09-08
522,R0121,Ease of Use,5,2024-03-08
523,R0194,Delivery Speed,1,2024-02-19
524,R0203,Customer Service,2,2024-02-26
525,R0293,Value for Money,2,2024-03-22
526,R0206,Delivery Speed,4,2024-06-29
527,R0112,Ease of Use,5,2024-05-22
528,R0164,Value for Money,1,2024-12-06
529,R0163,Delivery Speed,5,2024-09-29
530,R0201,Customer Service,4,2024-09-10
531,R0238,Value for Money,4,2024-03-21
532,R0091,Ease of Use,3,2024-01-02
533,R0273,Value for Money,4,2024-12-01
534,R0089,Overall Satisfaction,1,2024-07-15
535,R0298,Overall Satisfaction,4,2024-08-02
536,R0211,Customer Service,1,2024-11-12
537,R0115,Customer Service,5,2024-11-13
538,R0258,Product Quality,5,2024-10-19
539,R0210,Product Quality,3,2024-11-08
540,R0128,Customer Service,5,2024-11-16
541,R0242,Overall Satisfaction,1,2024-07-08
542,R0012,Overall Satisfaction,5,2024-11-30
543,R0200,Delivery Speed,5,2024-04-08
544,R0083,Ease of Use,3,2024-05-02
545,R0090,Ease of Use,2,2024-06-14
546,R0068,Value for Money,1,2024-01-16
547,R0106,Delivery Speed,4,2024-08-23
548,R0126,Overall Satisfaction,5,2024-08-15
549,R0124,Customer Service,4,2024-09-13
550,R0057,Delivery Speed,3,2024-03-22
551,R0126,Ease of Use,1,2024-01-04
552,R0017,Overall Satisfaction,4,2024-09-23
553,R0241,Ease of Use,1,2024-08-01
554,R0134,Overall Satisfaction,5,2024-03-02
555,R0274,Overall Satisfaction,1,2024-08-12
556,R0247,Overall Satisfaction,1,2024-05-29
557,R0204,Overall Satisfaction,1,2024-07-05
558,R0205,Overall Satisfaction,5,2024-11-18
559,R0226,Ease of Use,1,2024-02-23
560,R0075,Value for Money,5,2024-02-27
561,R0087,Value for Money,4,2024-12-02
562,R0174,Customer Service,2,2024-09-04
563,R0108,Value for Money,1,2024-06-17
564,R0038,Ease of Use,4,2024-05-05
565,R0134,Value for Money,3,2024-12-18
566,R0228,Value for Money,4,2024-12-24
567,R0133,Delivery Speed,3,2024-10-31
568,R0019,Customer Service,2,2024-09-24
569,R0148,Product Quality,2,2024-07-08
570,R0289,Value for Money,3,2024-06-06
571,R0082,Delivery Speed,3,2024-08-31
572,R0226,Overall Satisfaction,3,2024-03-20
573,R0066,Customer Service,5,2024-05-29
574,R0197,Value for Money,2,2024-01-15
575,R0109,Delivery Speed,3,2024-03-16
576,R0300,Product Quality,3,2024-07-05
577,R0261,Overall Satisfaction,5,2024-07-26
578,R0245,Delivery Speed,2,2024-06-25
579,R0080,Delivery Speed,5,2024-06-09
580,R0268,Value for Money,4,2024-09-05
581,R0087,Delivery Speed,4,2024-03-30
582,R0248,Ease of Use,1,2024-12-08
583,R0034,Value for Money,2,2024-06-07
584,R0106,Customer Service,2,2024-05-22
585,R0062,Overall Satisfaction,2,2024-07-01
586,R0256,Ease of Use,5,2024-11-22
587,R0007,Overall Satisfaction,5,2024-04-26
588,R0104,Value for Money,1,2024-07-23
589,R0051,Value for Money,5,2024-02-04
590,R0139,Delivery Speed,5,2024-10-02
591,R0041,Product Quality,4,2024-10-17
592,R0268,Customer Service,2,2024-05-11
593,R0094,Overall Satisfaction,2,2024-04-26
594,R0234,Customer Service,1,2024-11-07
595,R0137,Delivery Speed,3,2024-02-16
596,R0098,Overall Satisfaction,1,2024-03-08
597,R0268,Value for Money,1,2024-04-16
598,R0117,Customer Service,5,2024-10-24
599,R0245,Ease of Use,1,2024-10-01
600,R0027,Value for Money,1,2024-04-10
601,R0245,Product Quality,4,2024-02-12
602,R0244,Customer Service,1,2024-10-04
603,R0111,Delivery Speed,4,2024-06-02
604,R0292,Product Quality,5,2024-08-08
605,R0058,Overall Satisfaction,4,2024-11-25
606,R0100,Delivery Speed,5,2024-08-21
607,R0001,Value for Money,4,2024-11-03
608,R0139,Ease of Use,2,2024-06-17
609,R0260,Ease of Use,5,2024-05-25
610,R0154,Value for Money,5,2024-05-07
611,R0175,Value for Money,5,2024-09-14
612,R0159,Overall Satisfaction,4,2024-02-27
613,R0094,Ease of Use,1,2024-06-12
614,R0261,Ease of Use,4,2024-03-24
615,R0092,Product Quality,4,2024-12-10
616,R0156,Product Quality,4,2024-06-24
617,R0276,Customer Service,2,2024-02-25
618,R0119,Customer Service,3,2024-09-13
619,R0157,Value for Money,5,2024-08-29
620,R0053,Overall Satisfaction,3,2024-11-08
621,R0108,Delivery Speed,2,2024-06-14
622,R0081,Customer Service,4,2024-03-28
623,R0081,Delivery Speed,2,2024-06-15
624,R0265,Ease of Use,5,2024-08-01
625,R0138,Customer Service,3,2024-08-29
626,R0156,Value for Money,2,2024-06-05
627,R0171,Overall Satisfaction,3,2024-06-10
